file,line,column,type,code,message,docs,severity,link
.distignore,0,0,ERROR,hidden_files,"Hidden files are not permitted.",,8,
.gitignore,0,0,ERROR,hidden_files,"Hidden files are not permitted.",,8,
.env.example,0,0,ERROR,hidden_files,"Hidden files are not permitted.",,8,
scripts/package-plugin.sh,0,0,ERROR,application_detected,"Application files are not permitted.",,8,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Fpackage-plugin.sh
scripts/publish-release-v1.0.0.sh,0,0,ERROR,application_detected,"Application files are not permitted.",,8,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Fpublish-release-v1.0.0.sh
scripts/compile-languages.sh,0,0,ERROR,application_detected,"Application files are not permitted.",,8,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Fcompile-languages.sh
scripts/check-namespace.sh,0,0,ERROR,application_detected,"Application files are not permitted.",,8,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Fcheck-namespace.sh
scripts/lib/pomo/streams.php,173,16,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fopen,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fopen().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fstreams.php&line=173
scripts/lib/pomo/streams.php,193,11,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fread,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fread().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fstreams.php&line=193
scripts/lib/pomo/streams.php,226,11,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fclose,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fclose().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fstreams.php&line=226
scripts/lib/pomo/po.php,17,13,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedConstantFound,"Global constants defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;PO_MAX_LINE_LEN&quot;.",,6,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fpo.php&line=17
scripts/lib/pomo/po.php,28,2,WARNING,Squiz.PHP.DiscouragedFunctions.Discouraged,"The use of function ini_set() is discouraged",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fpo.php&line=28
scripts/lib/pomo/po.php,34,5,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedClassFound,"Classes declared by a theme/plugin should start with the theme/plugin prefix. Found: &quot;PO&quot;.",,6,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fpo.php&line=34
scripts/lib/pomo/po.php,91,10,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fopen,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fopen().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fpo.php&line=91
scripts/lib/pomo/po.php,96,14,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fpo.php&line=96
scripts/lib/pomo/po.php,100,11,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fclose,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fclose().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fpo.php&line=100
scripts/lib/pomo/po.php,301,9,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fopen,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fopen().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fpo.php&line=301
scripts/lib/pomo/mo.php,66,10,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fopen,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fopen().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=66
scripts/lib/pomo/mo.php,71,4,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fclose,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fclose().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=71
scripts/lib/pomo/mo.php,79,14,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fopen,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fopen().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=79
scripts/lib/pomo/mo.php,119,4,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=119
scripts/lib/pomo/mo.php,135,4,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=135
scripts/lib/pomo/mo.php,144,5,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=144
scripts/lib/pomo/mo.php,149,4,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=149
scripts/lib/pomo/mo.php,156,5,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=156
scripts/lib/pomo/mo.php,160,4,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=160
scripts/lib/pomo/mo.php,161,4,ERROR,WordPress.WP.AlternativeFunctions.file_system_operations_fwrite,"File operations should use WP_Filesystem methods instead of direct PHP filesystem calls. Found: fwrite().",,5,https://wordpress.misistema.com.co/wp-admin/plugin-editor.php?plugin=multiai-chatbot%2Fmultiai-chatbot.php&file=multiai-chatbot%2Fscripts%2Flib%2Fpomo%2Fmo.php&line=161
